2025-04-11 16:43:40,869 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got1_mc_86, process: A, location: B
2025-04-11 16:43:40,874 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got1_mc_87, process: A, location: B
2025-04-11 16:43:40,879 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got1_mc_88, process: A, location: B
2025-04-11 16:43:40,884 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got1_mc_89, process: A, location: B
2025-04-11 16:43:40,889 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got1_mc_9, process: A, location: B
2025-04-11 16:43:40,894 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got1_mc_90, process: A, location: B
2025-04-11 16:43:40,898 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got1_mc_91, process: A, location: B
2025-04-11 16:43:40,903 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got1_mc_92, process: A, location: B
2025-04-11 16:43:40,908 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got1_mc_93, process: A, location: B
2025-04-11 16:43:40,913 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got1_mc_94, process: A, location: B
2025-04-11 16:43:40,918 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got1_mc_95, process: A, location: B
2025-04-11 16:43:40,924 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got1_mc_96, process: A, location: B
2025-04-11 16:43:40,930 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got1_mc_97, process: A, location: B
2025-04-11 16:43:40,934 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got1_mc_98, process: A, location: B
2025-04-11 16:43:40,939 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got1_mc_99, process: A, location: B
2025-04-11 16:43:41,008 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got2_mc_1, process: A, location: B
2025-04-11 16:43:41,014 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got2_mc_10, process: A, location: B
2025-04-11 16:43:41,018 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got2_mc_100, process: A, location: B
