2025-04-11 13:53:49,483 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_34, process: A, location: B
2025-04-11 13:53:49,488 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_35, process: A, location: B
2025-04-11 13:53:49,492 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_36, process: A, location: B
2025-04-11 13:53:49,496 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_37, process: A, location: B
2025-04-11 13:53:49,500 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_38, process: A, location: B
2025-04-11 13:53:49,503 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_39, process: A, location: B
2025-04-11 13:53:49,508 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_40, process: A, location: B
2025-04-11 13:53:49,513 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_41, process: A, location: B
2025-04-11 13:53:49,516 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_42, process: A, location: B
2025-04-11 13:53:49,519 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_43, process: A, location: B
2025-04-11 13:53:49,521 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_44, process: A, location: B
2025-04-11 13:53:49,525 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_45, process: A, location: B
2025-04-11 13:53:49,530 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_46, process: A, location: B
2025-04-11 13:53:49,533 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_47, process: A, location: B
2025-04-11 13:53:49,537 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_48, process: A, location: B
2025-04-11 13:53:49,540 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_49, process: A, location: B
2025-04-11 13:53:49,543 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_50, process: A, location: B
2025-04-11 13:53:49,548 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_51, process: A, location: B
2025-04-11 13:53:49,551 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_52, process: A, location: B
2025-04-11 13:53:49,555 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_53, process: A, location: B
2025-04-11 13:53:49,558 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_54, process: A, location: B
2025-04-11 13:53:49,561 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_55, process: A, location: B
2025-04-11 13:53:49,564 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_56, process: A, location: B
2025-04-11 13:53:49,577 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_57, process: A, location: B
2025-04-11 13:53:49,582 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_58, process: A, location: B
2025-04-11 13:53:49,588 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_59, process: A, location: B
2025-04-11 13:53:49,592 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_60, process: A, location: B
2025-04-11 13:53:49,602 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_61, process: A, location: B
2025-04-11 13:53:49,608 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_62, process: A, location: B
2025-04-11 13:53:49,612 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_63, process: A, location: B
2025-04-11 13:53:49,615 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_64, process: A, location: B
2025-04-11 13:53:49,619 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_65, process: A, location: B
2025-04-11 13:53:49,622 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_66, process: A, location: B
2025-04-11 13:53:49,629 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_67, process: A, location: B
2025-04-11 13:53:49,632 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_68, process: A, location: B
2025-04-11 13:53:49,636 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_69, process: A, location: B
2025-04-11 13:53:49,640 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_70, process: A, location: B
2025-04-11 13:53:49,643 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_71, process: A, location: B
2025-04-11 13:53:49,647 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_72, process: A, location: B
2025-04-11 13:53:49,656 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_73, process: A, location: B
2025-04-11 13:53:49,663 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_74, process: A, location: B
2025-04-11 13:53:49,670 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_75, process: A, location: B
2025-04-11 13:53:49,674 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_76, process: A, location: B
2025-04-11 13:53:49,678 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_77, process: A, location: B
2025-04-11 13:53:49,681 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_78, process: A, location: B
2025-04-11 13:53:49,686 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_79, process: A, location: B
2025-04-11 13:53:49,690 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_80, process: A, location: B
2025-04-11 13:53:49,694 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_81, process: A, location: B
2025-04-11 13:53:49,697 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_82, process: A, location: B
2025-04-11 13:53:49,701 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_83, process: A, location: B
2025-04-11 13:53:49,705 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_84, process: A, location: B
2025-04-11 13:53:49,711 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_85, process: A, location: B
2025-04-11 13:53:49,715 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_86, process: A, location: B
2025-04-11 13:53:49,719 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_87, process: A, location: B
2025-04-11 13:53:49,723 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_88, process: A, location: B
2025-04-11 13:53:49,728 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_89, process: A, location: B
2025-04-11 13:53:49,731 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_90, process: A, location: B
2025-04-11 13:53:49,736 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_91, process: A, location: B
2025-04-11 13:53:49,741 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_92, process: A, location: B
2025-04-11 13:53:49,745 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_93, process: A, location: B
2025-04-11 13:53:49,749 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_94, process: A, location: B
2025-04-11 13:53:49,753 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_95, process: A, location: B
2025-04-11 13:53:49,757 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_96, process: A, location: B
2025-04-11 13:53:49,761 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_97, process: A, location: B
2025-04-11 13:53:49,765 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_98, process: A, location: B
2025-04-11 13:53:49,769 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got2/mc_99, process: A, location: B
2025-04-11 13:54:48,955 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_00, process: A, location: B
